sr_BA,"serb (Bosniya və Hersoqovina)"
sr_Cyrl_BA,"serb (kiril, Bosniya və Hersoqovina)"
sr_Cyrl_XK,"serb (kiril, Kosovo)"
sr_Cyrl_ME,"serb (kiril, Monteneqro)"
sr_Cyrl_RS,"serb (kiril, Serbiya)"
sr_Cyrl,"serb (kiril)"
sr_XK,"serb (Kosovo)"
sr_Latn_BA,"serb (latın, Bosniya və Hersoqovina)"
sr_Latn_XK,"serb (latın, Kosovo)"
sr_Latn_ME,"serb (latın, Monteneqro)"
sr_Latn_RS,"serb (latın, Serbiya)"
sr_Latn,"serb (latın)"
sr_ME,"serb (Monteneqro)"
sr_RS,"serb (Serbiya)"
sh,serb-xorvatca
sh_BA,"serb-xorvatca (Bosniya və Hersoqovina)"
ii,"siçuan yi"
ii_CN,"siçuan yi (Чин)"
si,sinhal
si_LK,"sinhal (Şri Lanka)"
gd,"skot gaelik dili"
gd_GB,"skot gaelik dili (Birləşmiş Krallıq)"
sk,slovak
sk_SK,"slovak (Slovakiya)"
sl,sloven
sl_SI,"sloven (Sloveniya)"
so,somali
so_DJ,"somali (Cibuti)"
so_ET,"somali (Efiopiya)"
so_KE,"somali (Keniya)"
so_SO,"somali (Somali)"
sw,suahili
sw_KE,"suahili (Keniya)"
sw_TZ,"suahili (Tanzaniya)"
sw_UG,"suahili (Uqanda)"
nd,"şimali ndebele"
nd_ZW,"şimali ndebele (Zimbabve)"
se,"şimali sami"
se_FI,"şimali sami (Finlandiya)"
se_SE,"şimali sami (İsveç)"
se_NO,"şimali sami (Norveç)"
sn,şona
sn_ZW,"şona (Zimbabve)"
tl,"taqaloq dili"
tl_PH,"taqaloq dili (Filippin)"
ta,tamil
ta_MY,"tamil (Malayziya)"
ta_SG,"tamil (Sinqapur)"
ta_LK,"tamil (Şri Lanka)"
ta_IN,"tamil (Һиндистан)"
th,tay
th_TH,"tay (Tayland)"
te,teluqu
te_IN,"teluqu (Һиндистан)"
bo,tibet
bo_IN,"tibet (Һиндистан)"
bo_CN,"tibet (Чин)"
ti,tiqrin
ti_ET,"tiqrin (Efiopiya)"
ti_ER,"tiqrin (Eritreya)"
to,tonqa
to_TO,"tonqa (Tonqa)"
tr,türk
tr_CY,"türk (Kipr)"
tr_TR,"türk (Türkiya)"
cy,uels
cy_GB,"uels (Birləşmiş Krallıq)"
uk,ukrayna
uk_UA,"ukrayna (Ukrayna)"
ur,urdu
ur_PK,"urdu (Pakistan)"
ur_IN,"urdu (Һиндистан)"
ug,uyğur
ug_Arab_CN,"uyğur (ərəb, Чин)"
ug_Arab,"uyğur (ərəb)"
ug_CN,"uyğur (Чин)"
vi,vyetnam
vi_VN,"vyetnam (Vyetnam)"
yi,"Yahudi dili"
yo,yoruba
yo_BJ,"yoruba (Benin)"
yo_NG,"yoruba (Nigeriya)"
el,yunan
el_CY,"yunan (Kipr)"
el_GR,"yunan (Yunanıstan)"
zu,zulu
zu_ZA,"zulu (Cənub Afrika)"
az,Азәрбајҹан
az_Cyrl_AZ,"Азәрбајҹан (kiril, Азәрбајҹан)"
az_Cyrl,"Азәрбајҹан (kiril)"
az_Latn_AZ,"Азәрбајҹан (latın, Азәрбајҹан)"
az_Latn,"Азәрбајҹан (latın)"
az_AZ,"Азәрбајҹан (Азәрбајҹан)"
de,алманҹа
de_AT,"алманҹа (Avstriya)"
de_BE,"алманҹа (Belçika)"
de_CH,"алманҹа (İsveçrə)"
de_LI,"алманҹа (Lixtenşteyn)"
de_LU,"алманҹа (Lüksemburq)"
de_DE,"алманҹа (Алманија)"
en,инҝилисҹә
en_VI,"инҝилисҹә (ABŞ Vircin Adaları)"
en_AS,"инҝилисҹә (Amerika Samoası)"
en_AI,"инҝилисҹә (Angila)"
en_AG,"инҝилисҹә (Antiqua və Barbuda)"
en_AU,"инҝилисҹә (Avstraliya)"
en_BS,"инҝилисҹә (Baham Adaları)"
en_BB,"инҝилисҹә (Barbados)"
en_BE,"инҝилисҹә (Belçika)"
en_BZ,"инҝилисҹә (Beliz)"
en_BM,"инҝилисҹә (Bermuda)"
en_GB,"инҝилисҹә (Birləşmiş Krallıq)"
en_UM,"инҝилисҹә (Birləşmiş Ştatlar Uzaq Adalar)"
en_BW,"инҝилисҹә (Botsvana)"
en_IO,"инҝилисҹә (Britaniya Hind Okeanı Ərazisi)"
en_VG,"инҝилисҹә (Britaniya Vircin Adaları)"
en_JE,"инҝилисҹә (Cersi)"
en_ZA,"инҝилисҹә (Cənub Afrika)"
en_SS,"инҝилисҹә (Cənubi Sudan)"
en_DG,"инҝилисҹә (Dieqo Qarsiya)"
en_DM,"инҝилисҹә (Dominika)"
en_ER,"инҝилисҹә (Eritreya)"
en_FJ,"инҝилисҹә (Fici)"
en_PH,"инҝилисҹә (Filippin)"
en_FK,"инҝилисҹә (Folklend Adaları)"
en_GG,"инҝилисҹә (Gernsey)"
en_GI,"инҝилисҹә (Gibraltar)"
en_HK,"инҝилисҹә (Honq Konq Xüsusi İnzibati Ərazi Çin)"
en_IE,"инҝилисҹә (İrlandiya)"
en_CM,"инҝилисҹә (Kamerun)"
en_CA,"инҝилисҹә (Kanada)"
en_KY,"инҝилисҹә (Kayman Adaları)"
en_KE,"инҝилисҹә (Keniya)"
en_KI,"инҝилисҹә (Kiribati)"
en_CC,"инҝилисҹә (Kokos Adaları)"
en_CK,"инҝилисҹә (Kuk Adaları)"
en_GM,"инҝилисҹә (Qambiya)"
en_GH,"инҝилисҹә (Qana)"
en_GD,"инҝилисҹә (Qrenada)"
en_GU,"инҝилисҹә (Quam)"
en_GY,"инҝилисҹә (Qviyana)"
en_LS,"инҝилисҹә (Lesoto)"
en_LR,"инҝилисҹә (Liberiya)"
en_MG,"инҝилисҹә (Madaqaskar)"
en_MO,"инҝилисҹә (Makao Xüsusi İnzibati Ərazi Çin)"
en_MW,"инҝилисҹә (Malavi)"
en_MY,"инҝилисҹә (Malayziya)"
en_MT,"инҝилисҹә (Malta)"
en_MH,"инҝилисҹә (Marşal Adaları)"
en_MU,"инҝилисҹә (Mavriki)"
en_IM,"инҝилисҹә (Men Adası)"
en_FM,"инҝилисҹә (Mikroneziya)"
en_CX,"инҝилисҹә (Milad Adası)"
en_MS,"инҝилисҹә (Monserat)"
en_SH,"инҝилисҹә (Müqəddəs Yelena)"
en_NA,"инҝилисҹә (Namibiya)"
en_NR,"инҝилисҹә (Nauru)"
en_NG,"инҝилисҹә (Nigeriya)"
en_NU,"инҝилисҹә (Niue)"
en_NF,"инҝилисҹә (Norfolk Adası)"
en_PK,"инҝилисҹә (Pakistan)"
en_PW,"инҝилисҹә (Palau)"
en_PG,"инҝилисҹә (Papua Yeni Qvineya)"
en_PN,"инҝилисҹә (Pitkern Adaları)"
en_PR,"инҝилисҹә (Puerto Riko)"
en_RW,"инҝилисҹә (Ruanda)"
en_WS,"инҝилисҹә (Samoa)"
en_KN,"инҝилисҹә (San Kits və Nevis)"
en_LC,"инҝилисҹә (San Lüsiya)"
en_VC,"инҝилисҹә (San Vinsent və Qrenada)"
en_SC,"инҝилисҹә (Seyşel Adaları)"
en_SL,"инҝилисҹә (Siera Leon)"
en_SG,"инҝилисҹә (Sinqapur)"
en_SX,"инҝилисҹә (Sint Maarten)"
en_SB,"инҝилисҹә (Solomon Adaları)"
en_SD,"инҝилисҹә (Sudan)"
en_SZ,"инҝилисҹә (Svazilend)"
en_MP,"инҝилисҹә (Şimali Mariana Adaları)"
en_TZ,"инҝилисҹә (Tanzaniya)"
en_TK,"инҝилисҹә (Tokelau)"
en_TO,"инҝилисҹә (Tonqa)"
en_TT,"инҝилисҹә (Trinidad və Tobaqo)"
en_TC,"инҝилисҹә (Turks və Kaikos Adaları)"
en_TV,"инҝилисҹә (Tuvalu)"
en_UG,"инҝилисҹә (Uqanda)"
en_VU,"инҝилисҹә (Vanuatu)"
en_JM,"инҝилисҹә (Yamayka)"
en_NZ,"инҝилисҹә (Yeni Zelandiya)"
en_ZM,"инҝилисҹә (Zambiya)"
en_ZW,"инҝилисҹә (Zimbabve)"
en_US,"инҝилисҹә (Америка Бирләшмиш Штатлары)"
en_IN,"инҝилисҹә (Һиндистан)"
es,испанҹа
es_AR,"испанҹа (Argentina)"
es_BO,"испанҹа (Boliviya)"
es_CL,"испанҹа (Çili)"
es_DO,"испанҹа (Dominikan Respublikası)"
es_EC,"испанҹа (Ekvador)"
es_GQ,"испанҹа (Ekvatorial Qvineya)"
es_PH,"испанҹа (Filippin)"
es_HN,"испанҹа (Honduras)"
es_ES,"испанҹа (İspaniya)"
es_IC,"испанҹа (Kanar Adaları)"
es_CO,"испанҹа (Kolumbiya)"
es_CR,"испанҹа (Kosta Rika)"
es_CU,"испанҹа (Kuba)"
es_GT,"испанҹа (Qvatemala)"
es_MX,"испанҹа (Meksika)"
es_NI,"испанҹа (Nikaraqua)"
es_PA,"испанҹа (Panama)"
es_PY,"испанҹа (Paraqvay)"
es_PE,"испанҹа (Peru)"
es_PR,"испанҹа (Puerto Riko)"
es_SV,"испанҹа (Salvador)"
es_EA,"испанҹа (Seuta və Melilya)"
es_UY,"испанҹа (Uruqvay)"
es_VE,"испанҹа (Venesuela)"
es_US,"испанҹа (Америка Бирләшмиш Штатлары)"
it,италјанҹа
it_CH,"италјанҹа (İsveçrə)"
it_SM,"италјанҹа (San Marino)"
it_IT,"италјанҹа (Италија)"
ja,јапонҹа
ja_JP,"јапонҹа (Јапонија)"
pt,португалҹа
pt_AO,"португалҹа (Anqola)"
pt_CV,"португалҹа (Kape Verde)"
pt_GW,"португалҹа (Qvineya-Bisau)"
pt_MO,"португалҹа (Makao Xüsusi İnzibati Ərazi Çin)"
pt_MZ,"португалҹа (Mozambik)"
pt_PT,"португалҹа (Portuqal)"
pt_ST,"португалҹа (Sao Tome və Prinsip)"
pt_TL,"португалҹа (Şərqi Timor)"
pt_BR,"португалҹа (Бразилија)"
ru,русҹа
ru_BY,"русҹа (Belarus)"
ru_KZ,"русҹа (Qazaxıstan)"
ru_KG,"русҹа (Qırğızıstan)"
ru_MD,"русҹа (Moldova)"
ru_UA,"русҹа (Ukrayna)"
ru_RU,"русҹа (Русија)"
fr,франсызҹа
fr_BE,"франсызҹа (Belçika)"
fr_BJ,"франсызҹа (Benin)"
fr_BF,"франсызҹа (Burkina Faso)"
fr_BI,"франсызҹа (Burundi)"
fr_DJ,"франсызҹа (Cibuti)"
fr_TD,"франсызҹа (Çad)"
fr_GQ,"франсызҹа (Ekvatorial Qvineya)"
fr_DZ,"франсызҹа (Əlcəzair)"
fr_CI,"франсызҹа (Fil Dişi Sahili)"
fr_GF,"франсызҹа (Fransız Qviyanası)"
fr_PF,"франсызҹа (Fransız Polineziyası)"
fr_HT,"франсызҹа (Haiti)"
fr_CH,"франсызҹа (İsveçrə)"
fr_CM,"франсызҹа (Kamerun)"
fr_CA,"франсызҹа (Kanada)"
fr_KM,"франсызҹа (Komor Adaları)"
fr_CG,"франсызҹа (Konqo - Brazzavil)"
fr_CD,"франсызҹа (Konqo - Kinşasa)"
fr_GA,"франсызҹа (Qabon)"
fr_GP,"франсызҹа (Qvadelupa)"
fr_GN,"франсызҹа (Qvineya)"
fr_LU,"франсызҹа (Lüksemburq)"
fr_MG,"франсызҹа (Madaqaskar)"
fr_ML,"франсызҹа (Mali)"
fr_MQ,"франсызҹа (Martinik)"
fr_MU,"франсызҹа (Mavriki)"
fr_MR,"франсызҹа (Mavritaniya)"
fr_YT,"франсызҹа (Mayot)"
fr_MA,"франсызҹа (Mərakeş)"
fr_CF,"франсызҹа (Mərkəzi Afrika Respublikası)"
fr_MC,"франсызҹа (Monako)"
fr_NE,"франсызҹа (Niger)"
fr_RE,"франсызҹа (Reunion)"
fr_RW,"франсызҹа (Ruanda)"
fr_BL,"франсызҹа (San Bartolomey)"
fr_MF,"франсызҹа (San Martin)"
fr_PM,"франсызҹа (San Pier və Mikelon)"
fr_SN,"франсызҹа (Seneqal)"
fr_SC,"франсызҹа (Seyşel Adaları)"
fr_SY,"франсызҹа (Suriya)"
fr_TG,"франсызҹа (Toqo)"
fr_TN,"франсызҹа (Tunis)"
fr_WF,"франсызҹа (Uolis və Futuna)"
fr_VU,"франсызҹа (Vanuatu)"
fr_NC,"франсызҹа (Yeni Kaledoniya)"
fr_FR,"франсызҹа (Франса)"
zh,чинҹә
